Reservoir,Nb,U/Pb,La,Rb,Ba,Th/U,Location
DM,,0.321311475,,,,2.704081633,
DM,,0.347169811,,,,2.934782609,
DM,,0.36407767,,,,2.773333333,
DM,1.27,,1.47,,,,
DM,,0.28496732,,,,3.004587156,
DM,25.4,0.28,24.5,19.4,319,3.081632653,
DM,,0.302702703,,,,3.244047619,
DM,,0.318981481,,,,3.222060958,
DM,28.5,0.274647887,26.6,26.7,295,2.871794872,
DM,16.3,0.11884058,11.5,9.4,91.1,1.429878049,
DM,,0.424324324,,,,2.261146497,
DM,2.4,,2.88,,,,
DM,12.5,0.337142857,10.3,9.71,80.3,1.747881356,
DM,23,0.254515599,17.3,18.5,141,2.24516129,
DM,,0.331325301,,,,3.018181818,
DM,,0.329761905,,,,2.779783394,
DM,,1.062244898,,,,0.816522574,
DM,29.35,0.420338983,16.8,10,313,2.721774194,
DM,,0.352,,,,2.424242424,
DM,,0.15026178,,,,3.240418118,
DM,28.52,0.342424242,16.77,9.7,294,3.185840708,
DM,0.9,,1.69,,,,
DM,3.16,0.092555332,3.18,4.16,105,1.891304348,
DM,,0.216793893,,,,3.204225352,
DM,3.84,,4.83,,,,
DM,,1.202816901,,,,0.644028103,
DM,,0.169565217,,,,2.703962704,
DM,,0.270512821,,,,3.317535545,
DM,,0.206756757,,,,4.77124183,
DM,,0.315384615,,,,3.008130081,
DM,,0.010483384,,,,1.988472622,
DM,49.2,0.500337838,41.71,26.6,620,3.625928427,
DM,7.3,0.180555556,7.3,4.7,55,3.384615385,
DM,42.9,0.491803279,29,26,435,3.811111111,
DM,14,0.217821782,12.7,7.3,83,4,
DM,13.5,0.21875,12.9,6.7,90,3.380952381,
DM,46.9,0.48255814,28.2,29.3,560,3.855421687,
DM,29.7,0.487603306,21.8,18.9,304,3.86440678,
DM,7.2,0.231707317,8.1,5.8,72,2.421052632,
DM,5.2,0.142857143,4.14,2.9,35,3.428571429,
DM,5.4,0.131147541,4.84,2.7,44,3.625,
DM,18.4,0.200980392,21.4,14.4,187,3.317073171,
DM,7.2,0.188235294,8.05,5.4,70,3.0625,
DM,5.7,0.13253012,6.45,3.9,51,3.454545455,
DM,5.9,0.166666667,5.73,4,46,2.9,
DM,7.3,0.123966942,8.27,5.4,67,3.4,
DM,8.5,0.228070175,7.87,3.3,54,3.615384615,
DM,15.7,0.308510638,16.3,9.1,110,3.206896552,
DM,7.7,0.203125,6.19,3.8,47,2.692307692,
DM,58.5,0.4921875,43.9,17.3,722,4.380952381,
DM,9.1,0.138686131,10.4,7.3,91,3.473684211,
DM,9.4,0.171428571,10,5.9,106,3.277777778,
DM,9.2,0.195652174,9.85,6.3,74,3.444444444,
DM,13.5,0.177419355,13.7,7.1,93,3.863636364,
DM,20.4,0.058727569,22.8,10.9,175,4.305555556,
DM,24,0.176470588,24.4,19.3,221,3.176470588,
DM,4.26,,5.77,,,,
DM,62.3,0.434108527,37.6,38.3,650,3.473214286,
DM,63,0.426923077,38.2,40.4,659,3.576576577,
DM,58.3,0.415686275,35.3,38,646,3.471698113,
DM,60.6,0.357859532,36.4,37.7,726,3.598130841,
DM,61.3,0.428015564,37.8,38.4,635,3.390909091,
DM,63.8,0.443636364,39.8,42.8,676,3.483606557,
DM,40,0.496644295,24.9,26.7,431,3.472972973,
DM,37.7,0.469387755,24.5,23.5,424,3.579710145,
DM,63.1,0.359322034,37.4,42,761,3.745283019,
DM,67.2,0.438405797,40.5,42.5,708,3.462809917,
DM,77.7,0.638554217,49.2,52.4,806,3.402515723,
